Timestamp;Username;Navn;Afdeling;PCNavn;OS;Producent;Model1;Model2;S/N;PC-AD-Status
07/10/20 06:26;N1M333;Benjamin Alvarez;AFV Drift og Vedligehold;PC5007214;Windows 10;Dell Inc.;Latitude E7270;;JXVJHC2;Aktiv
07/10/20 07:08;N1M334;Alexus Garrett;AFV Proces og styring;PC5007215;Windows 10;Dell Inc.;Latitude E7270;;GYVJHC2;Aktiv
07/10/20 06:58;N1M335;Elijah Douglas;"AFV Rørlægning, Vand";PC5007216;Windows 10;LENOVO;20EQS1YQ00;ThinkPad P50;PC0F8TS7;Aktiv
07/10/20 08:10;N1M336;Jaslene Cisneros;AFV Anlæg og Processer;PC5007218;Windows 10;Dell Inc.;Latitude E7470;;97LFHC2;Aktiv
07/10/20 08:27;N1M337;Jason Cordova;"AFV Sekretariat, Vand";PC5007220;Windows 10;Dell Inc.;Latitude 7480;;37KK7H2;Aktiv
07/10/20 07:41;N1M338;Olive Williams;AFV Regninger og Fakturaer;PC5007223;Windows 10;Dell Inc.;Latitude 7480;;BRHNMH2;Aktiv
23/09/20 08:48;N1M339;Conner Pace;"AFV Rørlægning, Vand";PC5007224;Windows 10;Dell Inc.;Latitude 7480;;1LVTLH2;Aktiv
07/10/20 06:07;N1M340;Kyler Reilly;AFV Teknisk kundekontakt;PC5007226;Windows 10;Dell Inc.;Latitude 7480;;8V7YLH2;Aktiv
07/10/20 08:49;N1M373;Fernando Lopez;AFV Drift og Vedligehold;PC5007228;Windows 10;Dell Inc.;OptiPlex 7010;01;C1H2ZX1;Aktiv
06/10/20 12:30;N1M342;Charlize Peck;AFV Proces og styring;PC5007231;Windows 10;Dell Inc.;Latitude 7480;;C1DSLH2;Aktiv
07/10/20 07:38;N1M343;Jaliyah Villegas;Aalborg Vand Holding A/S;PC5007232;Windows 10;Dell Inc.;Latitude 7480;;3GRSLH2;Aktiv
07/10/20 07:03;N1M344;Adriel Coleman;AFV Proces og styring;PC5007234;Windows 10;LENOVO;20EQS1PM00;ThinkPad P50;PC0T0JCR;Aktiv
07/10/20 09:01;#I/T;#I/T;AFV Proces og styring;PC5007235;Windows 10;LENOVO;20EQS1PM00;ThinkPad P50;PC0T0JCS;Aktiv
